0;0.960806;-0.333684;-0.844919;0.627122;0.627122;-0.844919;-0.333684;0.960806;0
0;0.905363;-0.314429;-0.796163;0.590934;0.590934;-0.796163;-0.314429;0.905363;0
0;0.738162;-0.256361;-0.649129;0.481801;0.481801;-0.649129;-0.256361;0.738162;0
0;0.481804;-0.167329;-0.423691;0.314475;0.314475;-0.423691;-0.167329;0.481804;0
0;0.167329;-0.0581127;-0.147146;0.109216;0.109216;-0.147146;-0.0581127;0.167329;0
0;-0.167329;0.0581127;0.147146;-0.109216;-0.109216;0.147146;0.0581127;-0.167329;0
0;-0.481804;0.167329;0.423691;-0.314475;-0.314475;0.423691;0.167329;-0.481804;0
0;-0.738162;0.256361;0.649129;-0.481801;-0.481801;0.649129;0.256361;-0.738162;0
0;-0.905363;0.314429;0.796163;-0.590934;-0.590934;0.796163;0.314429;-0.905363;0
0;-0.960806;0.333684;0.844919;-0.627122;-0.627122;0.844919;0.333684;-0.960806;0
